,Date,Location,Tour,Track,Album
199,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Far Away Eyes,#N/A
200,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Looney Tunes,#N/A
201,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,The Equalizer,#N/A
215,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Slash Guitar Solo,#N/A
216,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
218,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Whole Lotta Rosie,#N/A
219,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Riff Raff,#N/A
220,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Wish You Were Here,#N/A
225,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,The Seeker,#N/A
227,"February 10, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Far Away Eyes,#N/A
228,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Looney Tunes,#N/A
229,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,The Equalizer,#N/A
244,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Slash Guitar Solo,#N/A
245,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
249,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Wish You Were Here,#N/A
254,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,The Seeker,#N/A
256,"February 7, 2017 ","QSAC Stadium, Brisbane, Australia",Not in This Lifetime,Far Away Eyes,#N/A
257,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Looney Tunes,#N/A
258,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,The Equalizer,#N/A
273,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
277,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Wish You Were Here,#N/A
283,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,The Seeker,#N/A
285,"February 4, 2017 ","Western Springs Stadium, Auckland, New Zealand",Not in This Lifetime,Far Away Eyes,#N/A
286,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Looney Tunes,#N/A
287,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,The Equalizer,#N/A
302,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
306,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Wish You Were Here,#N/A
311,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,The Seeker,#N/A
313,"February 2, 2017 ","Westpac Stadium, Wellington, New Zealand",Not in This Lifetime,Far Away Eyes,#N/A
314,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Looney Tunes,#N/A
315,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,The Equalizer,#N/A
330,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Slash Guitar Solo,#N/A
331,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
335,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Wish You Were Here,#N/A
341,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,The Seeker,#N/A
343,"January 29, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Far Away Eyes,#N/A
344,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Looney Tunes,#N/A
345,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,The Equalizer,#N/A
360,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Slash Guitar Solo,#N/A
361,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
365,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Wish You Were Here,#N/A
370,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,The Seeker,#N/A
372,"January 28, 2017 ","Saitama Super Arena, Saitama, Japan",Not in This Lifetime,Far Away Eyes,#N/A
373,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Looney Tunes,#N/A
374,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,The Equalizer,#N/A
389,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Slash Guitar Solo,#N/A
390,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
394,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Wish You Were Here,#N/A
400,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,The Seeker,#N/A
402,"January 25, 2017 ","Yokohama Arena, Yokohama, Japan",Not in This Lifetime,Far Away Eyes,#N/A
403,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Looney Tunes,#N/A
404,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,The Equalizer,#N/A
419,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Slash Guitar Solo,#N/A
420,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
423,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Wish You Were Here,#N/A
429,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,The Seeker,#N/A
431,"January 22, 2017 ","Kobe World Kinen Hall, Kobe, Japan",Not in This Lifetime,Far Away Eyes,#N/A
432,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,Looney Tunes,#N/A
433,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,The Equalizer,#N/A
448,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,Slash Guitar Solo,#N/A
449,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
451,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,Wish You Were Here,#N/A
456,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,The Seeker,#N/A
458,"January 21, 2017 ","Kyocera Dome, Osaka, Japan",Not in This Lifetime,Far Away Eyes,#N/A
459,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Looney Tunes,#N/A
460,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,The Equalizer,#N/A
475,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Slash Guitar Solo,#N/A
476,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
480,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Wish You Were Here,#N/A
487,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,The Seeker,#N/A
489,"November 30, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Far Away Eyes,#N/A
490,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Looney Tunes,#N/A
491,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,The Equalizer,#N/A
506,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Slash Guitar Solo,#N/A
507,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
511,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Wish You Were Here,#N/A
516,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,The Seeker,#N/A
518,"November 29, 2016 ","Palacio de los Deportes, Mexico City, Mexico",Not in This Lifetime,Far Away Eyes,#N/A
519,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,Looney Tunes,#N/A
520,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,The Equalizer,#N/A
536,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,Slash Guitar Solo,#N/A
537,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
539,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,Wish You Were Here,#N/A
544,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,The Seeker,#N/A
546,"November 26, 2016 ","Estadio Nacional de Costa Rica, San José, Costa Rica",Not in This Lifetime,Far Away Eyes,#N/A
547,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,Looney Tunes,#N/A
548,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,The Equalizer,#N/A
564,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,Slash Guitar Solo,#N/A
565,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
568,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,Wish You Were Here,#N/A
573,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,The Seeker,#N/A
575,"November 23, 2016 ","Estadio Atanasio Girardot, Medellín, Colombia",Not in This Lifetime,Far Away Eyes,#N/A
576,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,Looney Tunes,#N/A
577,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,The Equalizer,#N/A
594,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
595,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
598,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
604,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,The Seeker,#N/A
606,"November 20, 2016 ","Estádio Mané Garrincha, Brasília, Brazil",Not in This Lifetime,Far Away Eyes,#N/A
607,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,Looney Tunes,#N/A
608,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,The Equalizer,#N/A
624,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
625,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
628,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
634,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,The Seeker,#N/A
636,"November 17, 2016 ","Pedreira Paulo Leminski, Curitiba, Brazil",Not in This Lifetime,Far Away Eyes,#N/A
637,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,Looney Tunes,#N/A
638,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,The Equalizer,#N/A
654,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
655,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
658,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
663,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,The Seeker,#N/A
665,"November 15, 2016 ","Engenhão, Rio de Janeiro, Brazil",Not in This Lifetime,Far Away Eyes,#N/A
666,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Looney Tunes,#N/A
667,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,The Equalizer,#N/A
682,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
683,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
685,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
690,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,The Seeker,#N/A
692,"November 12, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Far Away Eyes,#N/A
693,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Looney Tunes,#N/A
694,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,The Equalizer,#N/A
709,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
710,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
712,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
717,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,The Seeker,#N/A
719,"November 11, 2016 ","Allianz Parque, São Paulo, Brazil",Not in This Lifetime,Everybody Knows,#N/A
720,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,Looney Tunes,#N/A
721,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,The Equalizer,#N/A
736,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,Slash Guitar Solo,#N/A
737,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
739,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,Wish You Were Here,#N/A
744,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,The Seeker,#N/A
746,"November 8, 2016 ","Estádio Beira Rio, Porto Alegre, Brazil",Not in This Lifetime,Far Away Eyes,#N/A
747,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Looney Tunes,#N/A
748,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,The Equalizer,#N/A
763,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Slash Guitar Solo,#N/A
764,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
767,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Wish You Were Here,#N/A
772,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,The Seeker,#N/A
774,"November 5, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Far Away Eyes,#N/A
775,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Looney Tunes,#N/A
776,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,The Equalizer,#N/A
791,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
795,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Wish You Were Here,#N/A
800,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,The Seeker,#N/A
802,"November 4, 2016 ","Estadio River Plate, Buenos Aires, Argentina",Not in This Lifetime,Far Away Eyes,#N/A
803,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,Looney Tunes,#N/A
804,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,The Equalizer,#N/A
819,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
821,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,Wish You Were Here,#N/A
826,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,The Seeker,#N/A
828,"November 1, 2016 ","Estadio Gigante de Arroyito, Rosario, Argentina",Not in This Lifetime,Far Away Eyes,#N/A
829,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,Looney Tunes,#N/A
830,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,The Equalizer,#N/A
845,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
847,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,Wish You Were Here,#N/A
852,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,The Seeker,#N/A
854,"October 29, 2016 ","Estadio Nacional, Santiago, Chile",Not in This Lifetime,Far Away Eyes,#N/A
855,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,Looney Tunes,#N/A
856,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,The Equalizer,#N/A
870,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
873,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,Wish You Were Here,#N/A
878,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,The Seeker,#N/A
880,"October 27, 2016 ","Estadio Monumental, Lima, Peru",Not in This Lifetime,Far Away Eyes,#N/A
881,"August 22, 2016 ","Qualcomm Stadium, San Diego, CA, USA",Not in This Lifetime,Looney Tunes,#N/A
882,"August 22, 2016 ","Qualcomm Stadium, San Diego, CA, USA",Not in This Lifetime,The Equalizer,#N/A
896,"August 22, 2016 ","Qualcomm Stadium, San Diego, CA, USA",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
900,"August 22, 2016 ","Qualcomm Stadium, San Diego, CA, USA",Not in This Lifetime,Wish You Were Here,#N/A
907,"August 22, 2016 ","Qualcomm Stadium, San Diego, CA, USA",Not in This Lifetime,The Seeker,#N/A
909,"August 19, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Looney Tunes,#N/A
910,"August 19, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,The Equalizer,#N/A
925,"August 19, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
929,"August 19, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Wish You Were Here,#N/A
935,"August 19, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,The Seeker,#N/A
937,"August 18, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Looney Tunes,#N/A
938,"August 18, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,The Equalizer,#N/A
952,"August 18, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
956,"August 18, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,Wish You Were Here,#N/A
963,"August 18, 2016 ","Dodger Stadium, Los Angeles, CA, USA",Not in This Lifetime,The Seeker,#N/A
965,"August 15, 2016 ","University of Phoenix Stadium, Glendale, AZ, USA",Not in This Lifetime,Looney Tunes,#N/A
966,"August 15, 2016 ","University of Phoenix Stadium, Glendale, AZ, USA",Not in This Lifetime,The Equalizer,#N/A
981,"August 15, 2016 ","University of Phoenix Stadium, Glendale, AZ, USA",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
984,"August 15, 2016 ","University of Phoenix Stadium, Glendale, AZ, USA",Not in This Lifetime,Wish You Were Here,#N/A
990,"August 15, 2016 ","University of Phoenix Stadium, Glendale, AZ, USA",Not in This Lifetime,The Seeker,#N/A
992,"August 12, 2016 ","Centurylink Field, Seattle, WA, USA",Not in This Lifetime,Looney Tunes,#N/A
993,"August 12, 2016 ","Centurylink Field, Seattle, WA, USA",Not in This Lifetime,The Equalizer,#N/A
1007,"August 12, 2016 ","Centurylink Field, Seattle, WA, USA",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
1011,"August 12, 2016 ","Centurylink Field, Seattle, WA, USA",Not in This Lifetime,Wish You Were Here,#N/A
1017,"August 12, 2016 ","Centurylink Field, Seattle, WA, USA",Not in This Lifetime,The Seeker,#N/A
1019,"August 9, 2016 ","AT&T Park, San Francisco, CA, USA",Not in This Lifetime,Looney Tunes,#N/A
